故障码,故障描述,故障类型,故障原因,,,桩端上报故障码,故障描述,故障类型,故障原因,处理方案
0,其他,常规停止,,,,,,,,
,,,,,,,,,,
1000,充满停止,常规停止,,,,1001,屏幕手动停止/本地刷卡停止,正常,正常,
1001,触控屏手动停止/刷卡停止,常规停止,,,,1002,后台停止,正常,正常,
1002,后台停止充电,常规停止,,,,1003,达到设置充电时长停止,正常,正常,
1003,达到设置充电时长停止,常规停止,,,,1004,达到设置充电电量停止,正常,正常,
1004,达到设置充电电量停止,常规停止,,,,1005,达到金额停止,正常,正常,
1005,达到设置充电金额停止,常规停止,,,,1006,达到离线时长停止,二代平台达到离线时长停止充电,设备离线超过5分钟,
1006,达到离线停机条件,常规停止,,,,1007,达到 SOC 终止条件停止,正常,,
1007,达到 SOC 终止条件停止,常规停止,,,,1011,车端发送BST主动停止,正常,正常,
1008,枪未正确连接,常规停止,,,,1012,达到所需求的SOC      ,车辆异常,车端BST发送停止报文（达到所需求的SOC ）,
1009,扫码停止,常规停止,,,,1013,达到总电压的设定值    ,车辆异常,车端BST发送停止报文（达到总电压的设定值 ）,
1010,车端 S2 主动断开,常规停止,,,,1014,达到单体电压的设定值  ,车辆异常,车端BST发送停止报文（ 达到单体电压的设定值 ）,
,,,,,,1015,充电桩中止（收到CST帧）,车辆异常,车端BST发送停止报文（ 收到CST帧）,
1012,BST-达到所需求的SOC,常规停止,,,,1016,绝缘故障            ,车辆异常,车端BST发送停止报文（ 绝缘故障 ）,
1013,BST-达到总电压的设定值,常规停止,,,,1017,输出连接器过温故障    ,车辆异常,车端BST发送停止报文（输出连接器过温故障  ）,
1014,BST-达到单体电压的设定值,常规停止,,,,1018,"BMS元件,输出连接器过温",车辆异常,"车端BST发送停止报文（ BMS元件,输出连接器过温）",
1015,BST-充电桩中止（收到CST帧）,常规停止,,,,1019,充电连接器故障       ,车辆异常,车端BST发送停止报文（充电连接器故障  ）,
1016,BST-绝缘故障,常规停止,,,,1020,电池组温度过高故障    ,车辆异常,车端BST发送停止报文（ 电池组温度过高故障）,
1017,BST-输出连接器过温故障,常规停止,,,,1021,高压继电器故障       ,车辆异常,车端BST发送停止报文（ 高压继电器故障 ）,
1018,"BST-BMS元件, 输出连接器过温",常规停止,,,,1022,监测点2电压检测故障   ,车辆异常,车端BST发送停止报文（ 监测点2电压检测故障 ）,
1019,BST-充电连接器故障,常规停止,,,,1023,其他故障            ,车辆异常,车端BST发送停止报文（其他故障 ）,
1020,BST-电池组温度过高故障,常规停止,,,,1024,电流不匹配,车辆异常,车端BST发送停止报文（电流不匹配 ）,
1021,BST-高压继电器故障,常规停止,,,,1025,电压异常  ,车辆异常,车端BST发送停止报文（电压异常 ）,
1022,BST-监测点2电压检测故障,常规停止,,,,3002,行程打开,设备异常,充电桩柜门打开,
1023,BST-其他故障,常规停止,,,,3003,急停,设备异常,急停被按下,
1024,BST-电流不匹配,常规停止,,,,3005,读卡器故障,设备异常,读卡器离线,
1025,BST-电压异常,常规停止,,,,3006,电表通讯故障,设备异常,电表离线,
,,,,,,3007,电表数据错误,设备异常,电表采样数据发生异常,
3000,设备自检超时故障,设备异常,,,,3009,过温,设备异常,充电枪温度过高,
3001,离线故障,设备异常,,,,3011,电子锁故障,设备异常,电子锁锁枪异常,
3002,柜门被打开故障,设备异常,,,,3020,交流接触器故障,设备异常,交流接触器无法闭合,
3003,急停（非检修状态）,设备异常,,,,3034,风扇故障,设备异常,分体整流柜故障,
3004,设备急停按键被按下故障,设备异常,,,,3038,电源模块离线,设备异常,分体整流柜故障,
3005,充电枪未归位告警,设备异常,,,,3040,充电机模块故障,设备异常,分体整流柜故障,
3006,交流设备读卡器异常故障,设备异常,,,,3042,无空闲模块可用,设备告警,分体整流柜故障,
3007,电表数据异常故障,设备异常,,,,3045,K1/K2粘连,设备异常,,
3008,电表通讯故障故障,设备异常,,,,3048,K1K2/功率继电器无法闭合,设备异常,,
3009,输出接触器粘连故障,设备异常,,,,3055,功率控制模块环境湿度告警/水浸故障 ,设备异常,,
3010,充电设备过温告警,设备异常,,,,3056,主副板通信故障,设备异常,双枪控制板通信故障,
3011,充电接口过温告警,设备异常,,,,,整流柜故障-功率板通信超时,设备异常,分体整流柜通信故障,
3012,设备充电接口电子锁故障,设备异常,,,,,环境信息采集模块通信超时,设备异常,分体整流柜通信故障,
3013,水浸故障,设备异常,,,,,功率控制板间通信超时,设备异常,分体整流柜通信故障,
3014,充电设备内部通讯故障,设备异常,,,,,开关模块通信超时,设备异常,分体整流柜通信故障,
3015,交流设备充电连接故障,设备异常,,,,,功率板与充电控制模块通信超时,设备异常,分体整流柜通信故障,
3016,枪口异常故障,设备异常,,,,,,,,
3017,车位锁故障,设备异常,,,,3057,枪连接断开/接地断开,设备异常/车辆异常,未插枪/CC1连接断开,
